bolig_id;addr;vej;zip;pris;energi;type;kvm;ejerudg;grund;vaer;liggetid;alder
7a2333a4-2366-47bd-9297-7085dbf0b03e;/adresse/maadevej-5-6700-esbjerg;Mådevej 56700 Esbjerg;6700 Esbjerg;1.248.000,00 kr.;Energimærke C;Villa;131 m²;Ejerudg. 2.227 kr./md;Grund 650 m²;4 Vær.;70 dage;Opført 1975
7a2333a4-2366-47bd-9297-7085dbf0b03e;/adresse/maadevej-5-6700-esbjerg;Mådevej 56700 Esbjerg;(-4%);1.248.000,00 kr.;Energimærke C;Villa;131 m²;Ejerudg. 2.227 kr./md;Grund 650 m²;4 Vær.;70 dage;Opført 1975
98b1d130-483c-4023-8f2b-5df0d9996a83;/adresse/anna-anchers-vej-140-7500-holstebro;Anna Anchers Vej 1407500 Holstebro;7500 Holstebro;1.895.000,00 kr.;Energimærke C;Villa;120 m²;Ejerudg. 1.755 kr./md;Grund 755 m²;4 Vær.;70 dage;Opført 1994
a1caa8e6-3bcb-4ee9-8b9d-d9130136c231;/adresse/tuekaervej-8-4960-holeby;Tuekærvej 84960 Holeby;4960 Holeby;499.000,00 kr.;Energimærke D;Villa/Fritidsbolig;90 m²;Ejerudg. 1.034 kr./md;Grund 664 m²;4 Vær.;70 dage;Opført 1958
56d647b8-dca7-4895-bef2-35108aa1637f;/adresse/skovledet-17-3400-hilleroed;Skovledet 173400 Hillerød;3400 Hillerød;4.095.000,00 kr.;Energimærke C;Villa;125 m²;Ejerudg. 3.603 kr./md;Grund 859 m²;4 Vær.;70 dage;Opført 1957
67cc197e-69ee-42b6-bcd2-4e5dac038c6b;/adresse/kirkegade-145-6700-esbjerg;Kirkegade 1456700 Esbjerg;6700 Esbjerg;2.598.000,00 kr.;Energimærke C;Villa;124 m²;Ejerudg. 2.665 kr./md;Grund 384 m²;4 Vær.;70 dage;Opført 1910
3d7e0518-fdb7-4c73-9ccc-fd84c0a54f4c;/adresse/bursoevej-7-4930-maribo;Bursøvej 7Bursø, 4930 Maribo;Bursø, 4930 Maribo;479.000,00 kr.;Energimærke F;Villa/Fritidsbolig;94 m²;Ejerudg. 941 kr./md;Grund 500 m²;4 Vær.;70 dage;Opført 1934
8399ee45-0757-4bf1-857c-11055a8e0475;/adresse/traelbjergvej-77-9260-gistrup;Trælbjergvej 779260 Gistrup;9260 Gistrup;1.295.000,00 kr.;Energimærke E;Villa;138 m²;Ejerudg. 1.894 kr./md;Grund 8.473 m²;4 Vær.;70 dage;Opført 1876
8399ee45-0757-4bf1-857c-11055a8e0475;/adresse/traelbjergvej-77-9260-gistrup;Trælbjergvej 779260 Gistrup;(-7%);1.295.000,00 kr.;Energimærke E;Villa;138 m²;Ejerudg. 1.894 kr./md;Grund 8.473 m²;4 Vær.;70 dage;Opført 1876
fc19b110-868b-4879-84aa-b574ae64c69d;/adresse/perikumvej-1-8250-egaa;Perikumvej 18250 Egå;8250 Egå;6.250.000,00 kr.;Energimærke B;Villa;96 m²;Ejerudg. 4.751 kr./md;Grund 590 m²;4 Vær.;71 dage;Opført 2003
